id1,id2
160882,249965
160882,111502
110880,61879
114944,44193
58328,223401
207404,104442
12827,156480
56488,44682
82624,124486
82624,5458
97148,158772
13872,249118
169252,11198
52895,154632
28675,16203
90154,187349
234566,30105
215364,9292
1481,139723
203659,160043
119851,165460
192725,47013
152196,41701
162479,226102
220253,147232
88665,57799
213122,28168
221046,115257
186583,144995
216345,93850
238509,135900
62603,46670
87504,142133
41568,29151
46211,68779
197431,79382
119851,145009
143974,52660
179531,206420
224847,198229
62341,18586
96745,26426
106871,212783
146848,99196
209417,357
102926,40886
10070,72078
178178,39593
178178,182167
152442,68854
202147,101044
106645,215637
178178,135206
178178,228239
178178,228513
178178,113966
178178,149994
253422,120757
53470,14481
53470,67615
74665,119396
228085,82638
188194,102780
125504,73626
125504,180322
125504,44085
125504,196173
117908,100078
241097,88595
256656,172464
261206,22518
20949,100895
254673,24524
9791,141454
226696,97290
133995,29965
46211,178119
170513,210080
66170,228953
66170,242480
169768,29542
239587,110248
185256,191750
115489,94842
202451,66449
163278,24317
233354,189947
41885,20514
183424,191291
182347,121184
110687,14701
43040,155812
257448,232952
212675,11491
146103,53566
188287,32454
765,184434
230035,239265
29205,94309
29205,229976
149217,247776
149739,250029
259181,174874
237577,179704
25102,108355
24251,127462
126374,244095
237798,154788
192708,261765
85322,113540
133995,240409
154494,17540
109609,132606
7971,237899
14953,234837
153926,224828
31047,38583
239978,103073
173560,113328
40755,101776
232472,254179
198655,228410
200326,246141
120847,233981
52530,101586
117834,35995
240222,226701
238749,169115
57815,111343
57815,31502
193672,239361
237543,3457
5971,27909
228913,82175
125455,169363
243999,212628
42926,76191
71592,176161
105418,236377
184114,119144
256840,210698
214409,200939
222855,145152
119156,64591
231781,125692
103535,52307
49340,8920
121007,225868
232715,145151
237210,52749
230035,257284
240251,122774
19507,162771
31758,107293
117908,164683
117908,243539
234566,174540
83501,193558
131398,164606
23903,186847
42671,112375
217409,135597
240784,23167
23162,53154
19057,23214
133995,219175
4738,205426
119156,24796
119156,216706
119156,183210
247246,149035
183360,231553
63662,153048
83732,84712
158232,107207
56158,20088
56158,2339
205824,225104
25635,174120
173998,258159
32332,230038
240629,27948
89861,11814
119273,48927
34350,148758
7669,172013
67492,163638
78763,154317
89215,132286
181123,48376
75346,209236
179506,151241
174561,41828
168585,194283
42734,207628
89602,242751
194123,117049
89602,88673
60676,38013
207641,129831
13972,123351
13972,5939
210735,4960
230336,250226
29749,129275
147097,110717
29749,247391
866,250428
120148,197657
18544,243298
33365,47209
166097,185892
31705,243894
112237,167396
53938,71496
223754,255474
105418,252570
3372,59033
157811,164339
79724,109533
129793,252937
155209,16072
74243,119404
197437,59219
72667,84598
141198,83666
96982,55695
5696,100464
17441,241169
188900,56528
94426,140654
67359,71839
49782,139383
253086,68659
105357,218207
168966,15444
13477,158294
163038,134554
163959,246580
190345,219372
151547,5220
72793,212682
179321,157310
190826,98944
165433,154077
243508,109258
197353,237968
17708,48077
193672,30639
148515,97890
181046,226680
74588,74611
46211,130037
181191,126666
231000,40174
110623,208362
1559,58345
136316,216210
27472,149550
171993,20740
211993,235964
98977,127403
197633,74310
101824,159366
251557,104653
163278,202492
5979,46963
258154,132788
125772,189253
190238,22474
30083,96212
33870,220006
163343,119113
146314,126724
146314,184421
209169,110820
48282,29324
146848,37338
146848,226591
202496,97753
69058,231364
147984,64393
231475,161968
126192,17896
83758,7880
245146,17947
75188,233313
75188,214956
185192,161412
251929,135388
5990,187793
40233,175113
99185,45441
247880,20837
111281,159200
69058,114075
111281,120981
186859,76175
117489,133631
117489,107070
67559,198786
148038,250670
167198,249443
14340,169895
44089,49108
231208,32569
59724,192263
25692,128779
210176,155265
219230,104830
39619,23511
6229,260110
191048,203369
56838,42754
229731,146138
127086,200713
46490,22521
211462,96473
196799,182888
226412,235914
41762,150264
2982,222489
123953,122997
209163,12306
232760,30182
92510,240141
210597,191256
33384,68679
201736,246288
247678,22103
193089,227515
195150,49216
114928,193972
99036,146093
10501,187258
134069,147616
231682,15958
144573,253387
88042,245862
210597,85165
83798,124385
106743,110942
137673,220310
258879,259695
183762,150387
249483,95995
19301,113345
240463,169313
123659,87762
29159,179541
59819,164121
170380,9953
33036,75957
241741,111005
223489,123723
59526,48330
222855,236657
28307,22989
49906,247690
80225,131713
238655,166859
36574,75238
24737,241335
256382,144508
85205,128573
15952,101874
32186,196990
76752,92946
221061,235118
21549,127714
232334,85344
172707,134611
210423,144634
146848,57791
146848,245172
146848,70511
228640,250804
23325,26121
21714,147892
74498,79328
45624,146147
56559,101353
56559,194486
85467,218573
131247,193096
227687,194378
192311,235553
173737,106909
41093,15308
200894,23617
125641,31075
125641,161010
216345,87903
7345,251852
168328,254031
82580,107286
61960,49896
33280,175508
233285,79876
134159,102876
260501,47795
43885,203828
97311,84532
83659,117855
212708,131363
252236,145863
38947,10774
210326,157227
189193,54003
213797,118447
161053,224282
10641,243347
166417,195145
163031,100744
163031,171505
161589,245203
161589,102986
199404,12273
216742,92637
198383,229397
148858,105623
256473,186178
127358,250551
235529,57835
178349,222679
130240,70019
154333,207493
252617,195341
88577,102693
251207,13786
192631,186914
66865,12518
113943,236771
32300,70704
27814,191501
79896,37489
163985,46786
98977,5232
247436,91736
113729,151147
162388,220690
118031,254731
228647,192760
128019,248870
124166,176978
62341,247580
12535,171218
185182,106784
10278,169537
90230,194248
90230,127672
90230,58469
25107,161033
35574,101289
35965,12077
129961,58025
220384,148447
198765,242037
190102,189601
174351,242810
80658,241986
139802,3976
139802,28700
99600,223569
50933,145460
188801,150827
139978,102538
180585,197324
154330,64231
164546,29134
114024,178655
249568,83600
256837,42141
162195,241908
89003,149410
64931,135803
64931,38768
243880,6556
243880,126764
178632,258946
102332,37661
132182,69317
256656,24899
80450,47877
149864,258235
1703,205774
110058,32652
249995,109464
210545,144970
175583,21276
132046,80880
198198,256935
237397,46953
198198,26268
115411,187958
115411,246221
6670,225041
239137,9989
239137,62520
239137,95827
158475,101917
219267,152820
50832,88316
176822,248857
175824,180309
45106,114138
230336,254359
147097,91278
56559,78654
56559,1419
205406,29780
90154,4688
254175,110073
245659,170769
220044,77904
108052,115322
107217,192324
179001,162108
237822,40251
124940,71084
103667,96710
128106,200345
243831,100019
223410,44773
29226,109086
247619,119048
48486,193169
48486,44619
223507,68826
9480,30156
64250,115836
222572,126288
159946,141510
152641,117068
230415,129074
144716,251604
47912,100495
163662,143552
99654,121147
214056,135714
112237,158003
11605,231666
90973,146642
4130,28697
21000,227694
96466,124631
180730,176306
230531,78865
149669,31383
70765,93774
241372,85061
230827,39146
29959,250422
59606,220570
26719,100461
163633,258802
117435,222396
117435,227863
160559,47409
216842,259283
207111,177651
148116,55124
195125,233826
118568,211483
176660,107754
107253,51958
218575,173003
260212,104808
70306,234976
56603,106303
100252,176545
205776,192218
240844,222478
156916,121179
93181,84080
40487,214331
40442,72457
95975,151428
12498,10812
168966,75513
249814,1088
242452,72225
130364,16911
147418,114403
210447,73052
9157,63604
198255,42254
167248,137916
106958,234670
165678,249935
46244,210029
210705,40119
23512,242468
6537,93322
186781,54743
136398,260851
133551,160498
168363,6237
70306,239760
8273,79767
182337,145570
48816,92400
248446,206599
57920,148619
35988,221589
35988,182450
77158,22426
82736,195237
232173,96564
169370,27990
70306,71871
102063,166764
44990,19852
207111,54704
1369,91873
57669,32231
168506,99086
170698,20164
243580,56221
122380,121465
164593,171115
134426,245811
172210,124958
37145,183388
37145,223663
11561,555
143867,258774
167707,25457
109651,112120
241397,261521
241397,183637
241397,125312
241397,170247
226531,224722
40233,26376
40233,91015
40233,69233
109651,192296
77763,133467
77763,82789
118131,89565
168966,132651
58213,133439
173513,73077
54891,26006
90230,225114
170698,73062
130728,222290
172210,97346
200802,234238
32033,166740
1968,123753
142222,31207
91616,151736
106871,189537
26745,8078
90796,65177
244611,201653
158732,110769
191191,256514
244552,101609
76006,97293
72793,89609
97088,485
69092,156972
55786,205004
199219,68867
65790,236947
69061,253482
163278,35899
13734,115915
241097,237570
215714,142066
28326,198829
140362,48388
168966,185935
183167,195100
6319,258377
6319,187305
6319,40289
37385,59116
7100,24861
41476,216324
18620,134857
58696,53450
168900,237862
228647,58016
90515,180861
186207,187316
231421,141355
140343,148797
217417,51213
203568,110665
117735,136905
117735,160552
248817,44759
125724,248431
54009,48878
174844,112223
21714,207192
106753,60257
170238,25613
64931,235821
180492,149072
150838,154831
40442,188173
126560,146961
209440,154380
209440,119335
209440,859
209440,156568
109193,76819
210415,93914
58213,123067
237164,62222
134650,136758
207539,241393
10501,18761
244611,63098
216381,26093
82596,149228
262006,84034
25700,168661
25700,92652
25700,32805
77772,226914
77772,121579
77772,88240
107748,4449
1571,113620
4750,67393
52847,197052
52847,77515
258197,182430
235957,108762
